year,hare,lynx,carrot
1900,"30.000,00","4.000,00","48.300,00"
1901,"47.200,00","6.100,00","48.200,00"
1902,"70.200,00","9.800,00","41.500,00"
1903,"77.400,00","35.200,00","38.200,00"
1904,"36.300,00","59.400,00","40.600,00"
1905,"20.660,00","41.700,00","39.800,00"
1906,"18.100,00","19.000,00","38.600,00"
1907,"21.400,00","13.000,00","42.300,00"
1908,"22.000,00","8.300,00","44.500,00"
1909,"25.400,00","9.100,00","42.100,00"
1910,"24.700,00","7.400,00","46.000,00"
1911,"40.300,00","8.000,00","46.800,00"
1912,"57.000,00","12.300,00","43.800,00"
1913,"76.600,00","19.500,00","40.900,00"
1914,"52.300,00","45.700,00","39.400,00"
1915,"19.500,00","51.100,00","39.000,00"
1916,"11.200,00","29.700,00","36.700,00"
1917,"7.600,00","15.800,00","41.800,00"
1918,"14.600,00","9.700,00","43.300,00"
1919,"16.200,00","10.100,00","41.300,00"
1920,"24.700,00","8.600,00","47.300,00"
